Sr,Proc_ID,SAS9_Proc,SAS9_Prod,SAS9_Proc_Cat,SAS9_Office_Analytics,SAS9_Analytics_Pro,SASV_Proc,SASV_Prod,SAS Visual Machine Learning,SAS Visual Data Science,SAS Data Science Programming*,SAS Visual Data Science Decisioning,SASV_Proc_Cat,SASV_CLD_PRD_ADDON,Open_Source_Mapping,Azure_Prod,AWS_Prod,GCP_Prod
218,PROC_218,IMXFER,SAS LASR Analytic Server,Advanced Data Management,,,,,,,,,,,,,,
219,PROC_219,INBREED,SAS/STAT,Analytics,Y,Y,INBREED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
220,PROC_220,INFOMAPS,Base SAS,Reporting,Y,Y,,,,,,,,,,,,
221,PROC_221,IOMOPERATE,SAS Integration Technologies,SAS ENV,,,,,,,,,,,,,,
222,PROC_222,IRT,SAS/STAT,Analytics,Y,Y,IRT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
223,PROC_223,ISHIKAWA,SAS/QC,Advanced Analytics,,,ISHIKAWA,,,,,,Advanced Analytics,SAS/QC,,,,
224,PROC_224,ITEMS,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
225,PROC_225,JAVAINFO,Base SAS,SAS ENV,Y,Y,JAVAINFO,SAS Studio,Y,Y,Y,Y,SAS ENV,,,,,
226,PROC_226,JSON,Base SAS,Data Management,Y,Y,JSON,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
227,PROC_227,KCLUS,SAS Visual Statistics,Advanced Analytics,,,KCLUS,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
228,PROC_228,KDE,SAS/STAT,Analytics,Y,Y,KDE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
229,PROC_229,KRIGE2D,SAS/STAT,Analytics,Y,Y,KRIGE2D,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
230,PROC_230,LASR,SAS LASR Analytic Server,Advanced Analytics,,,,,,,,,,,,,,
231,PROC_231,LATTICE,SAS/STAT,Analytics,Y,Y,LATTICE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
232,PROC_232,LIFEREG,SAS/STAT,Analytics,Y,Y,LIFEREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
233,PROC_233,LIFETEST,SAS/STAT,Analytics,Y,Y,LIFETEST,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
234,PROC_234,LMIXED,SAS Visual Statistics,Advanced Analytics,,,LMIXED,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
235,PROC_235,LOAN,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
236,PROC_236,LOCALEDATA,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
237,PROC_237,LOESS,SAS/STAT,Analytics,Y,Y,LOESS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
238,PROC_238,LOGISTIC,SAS/STAT,Analytics,Y,Y,LOGISTIC,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
239,PROC_239,LOGSELECT,SAS Visual Statistics,Advanced Analytics,,,LOGSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
240,PROC_240,LUA,Base SAS,Data Management,Y,Y,LUA,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
241,PROC_241,MACONTROL,SAS/QC,Advanced Analytics,,,MACONTROL,,,,,,Advanced Analytics,SAS/QC,,,,
242,PROC_242,MAPIMPORT,Base SAS,Data Management,Y,Y,MAPIMPORT,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
243,PROC_243,MBC,SAS Visual Statistics,Advanced Analytics,,,MBC,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
244,PROC_244,MCMC,SAS/STAT,Analytics,Y,Y,MCMC,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
245,PROC_245,MDC,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
246,PROC_246,MDDB,SAS/MDDB Server,Reporting,,,,,,,,,,,,,,
247,PROC_247,MDS,SAS/STAT,Analytics,Y,Y,MDS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
248,PROC_248,MEANS,Base SAS,Analytics,Y,Y,MEANS,SAS Studio,Y,Y,Y,Y,Analytics,,,,,
249,PROC_249,METADATA,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
250,PROC_250,METALIB,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
251,PROC_251,METAOPERATE,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
252,PROC_252,MI,SAS/STAT,Analytics,Y,Y,MI,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
253,PROC_253,MIANALYZE,SAS/STAT,Analytics,Y,Y,MIANALYZE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
254,PROC_254,MIGRATE,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
255,PROC_255,MIXED,SAS/STAT,Analytics,Y,Y,MIXED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
256,PROC_256,MODECLUS,SAS/STAT,Analytics,Y,Y,MODECLUS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
257,PROC_257,MODEL,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
258,PROC_258,MODELMATRIX,SAS Visual Statistics,Advanced Analytics,,,MODELMATRIX,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
259,PROC_259,MULTTEST,SAS/STAT,Analytics,Y,Y,MULTTEST,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
260,PROC_260,MVPDIAGNOSE,SAS/QC,Advanced Analytics,,,MVPDIAGNOSE,,,,,,Advanced Analytics,SAS/QC,,,,
261,PROC_261,MVPMODEL,SAS/QC,Advanced Analytics,,,MVPMODEL,,,,,,Advanced Analytics,SAS/QC,,,,
262,PROC_262,MVPMONITOR,SAS/QC,Advanced Analytics,,,MVPMONITOR,,,,,,Advanced Analytics,SAS/QC,,,,
263,PROC_263,NESTED,SAS/STAT,Analytics,Y,Y,NESTED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
264,PROC_264,NETDRAW,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
265,PROC_265,NLIN,SAS/STAT,Analytics,Y,Y,NLIN,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
266,PROC_266,NLMIXED,SAS/STAT,Analytics,Y,Y,NLMIXED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
267,PROC_267,NLMOD,SAS Visual Statistics,Advanced Analytics,,,NLMOD,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
268,PROC_268,NMF,SAS Visual Statistics,Advanced Analytics,,,NMF,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
269,PROC_269,NPAR1WAY,SAS/STAT,Analytics,Y,Y,NPAR1WAY,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
270,PROC_270,ODSLIST,Base SAS,Reporting,Y,Y,ODSLIST,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
271,PROC_271,ODSTABLE,Base SAS,Reporting,Y,Y,,,,,,,,,,,,
272,PROC_272,ODSTEXT,Base SAS,Reporting,Y,Y,ODSTEXT,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
273,PROC_273,OLAP,SAS OLAP Server,Reporting,,,,,,,,,,,,,,
274,PROC_274,OLAPCONTENTS,SAS OLAP Server,Reporting,,,,,,,,,,,,,,
275,PROC_275,OLAPOPERATE,SAS OLAP Server,Reporting,,,,,,,,,,,,,,
276,PROC_276,OPERATE,SAS/SHARE,SAS ENV,,,,,,,,,,,,,,
277,PROC_277,OPTEX,SAS/QC,Advanced Analytics,,,OPTEX,,,,,,Advanced Analytics,SAS/QC,,,,
278,PROC_278,OPTGRAPH,SAS OPTGRAPH Procedure,Advanced Analytics,,,,,,,,,,,,,,
279,PROC_279,OPTIONS,Base SAS,SAS ENV,Y,Y,OPTIONS,SAS Studio,Y,Y,Y,Y,SAS ENV,,,,,
280,PROC_280,OPTLOAD,Base SAS,SAS ENV,Y,Y,,,,,,,,,,,,
281,PROC_281,OPTLP,SAS Optimization,Advanced Analytics,,,OPTLP,SAS® Optimization,,Y,Y,Y,Advanced Analytics,,,,,
282,PROC_282,OPTLSO,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
283,PROC_283,OPTMILP,SAS Optimization,Advanced Analytics,,,OPTMILP,SAS® Optimization,,Y,Y,Y,Advanced Analytics,,,,,
284,PROC_284,OPTMODEL,SAS Optimization,Advanced Analytics,,,OPTMODEL,SAS® Optimization,,Y,Y,Y,Advanced Analytics,,,,,
285,PROC_285,OPTNET,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
286,PROC_286,OPTNETWORK,SAS Optimization,Advanced Analytics,,,OPTNETWORK,SAS® Optimization,,Y,Y,Y,Advanced Analytics,,,,,
287,PROC_287,OPTQP,SAS Optimization,Advanced Analytics,,,OPTQP,SAS® Optimization,,Y,Y,Y,Advanced Analytics,,,,,
288,PROC_288,OPTSAVE,Base SAS,SAS ENV,Y,Y,,,,,,,,,,,,
289,PROC_289,ORTHOREG,SAS/STAT,Analytics,Y,Y,ORTHOREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
290,PROC_290,PANEL,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
291,PROC_291,PARETO,SAS/QC,Advanced Analytics,,,PARETO,,,,,,Advanced Analytics,SAS/QC,,,,
292,PROC_292,PARTITION,SAS Visual Statistics,Advanced Analytics,,,PARTITION,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
293,PROC_293,PCA,SAS Visual Statistics,Advanced Analytics,,,PCA,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
294,PROC_294,PDLREG,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
295,PROC_295,PDS,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
296,PROC_296,PDSCOPY,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
297,PROC_297,PHREG,SAS/STAT,Analytics,Y,Y,PHREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
298,PROC_298,PHSELECT,SAS Visual Statistics,Advanced Analytics,,,PHSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
299,PROC_299,PLAN,SAS/STAT,Analytics,Y,Y,PLAN,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
300,PROC_300,PLM,SAS/STAT,Analytics,Y,Y,PLM,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
301,PROC_301,PLOT,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
302,PROC_302,PLS,SAS/STAT,Analytics,Y,Y,PLS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
303,PROC_303,PLSMOD,SAS Visual Statistics,Advanced Analytics,,,PLSMOD,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
304,PROC_304,PM,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
305,PROC_305,PMENU,Base SAS,Data Management,Y,Y,PMENU,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
306,PROC_306,POWER,SAS/STAT,Analytics,Y,Y,POWER,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
307,PROC_307,PRESENV,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
308,PROC_308,PRINCOMP,SAS/STAT,Analytics,Y,Y,PRINCOMP,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
309,PROC_309,PRINQUAL,SAS/STAT,Analytics,Y,Y,PRINQUAL,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
310,PROC_310,PRINT,Base SAS,Reporting,Y,Y,PRINT,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
311,PROC_311,PRINTTO,Base SAS,Reporting,Y,Y,PRINTTO,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
312,PROC_312,PROBIT,SAS/STAT,Analytics,Y,Y,PROBIT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
313,PROC_313,PRODUCT_STATUS,Base SAS,SAS ENV,Y,Y,PRODUCT_STATUS,SAS Studio,Y,Y,Y,Y,SAS ENV,,,,,
314,PROC_314,PROTO,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
315,PROC_315,PRTDEF,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
316,PROC_316,PRTEXP,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
317,PROC_317,PSMATCH,SAS/STAT,Analytics,Y,Y,PSMATCH,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
318,PROC_318,PSMOOTH,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
319,PROC_319,PWENCODE,Base SAS,Data Management,Y,Y,PWENCODE,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
320,PROC_320,QDEVICE,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
321,PROC_321,QLIM,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
322,PROC_322,QTRSELECT,SAS Visual Statistics,Advanced Analytics,,,QTRSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
323,PROC_323,QUANTLIFE,SAS/STAT,Analytics,Y,Y,QUANTLIFE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
324,PROC_324,QUANTREG,SAS/STAT,Analytics,Y,Y,QUANTREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
325,PROC_325,QUANTSELECT,SAS/STAT,Analytics,Y,Y,QUANTSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
326,PROC_326,QUEST,SAS/ACCESS,Data Management,,,,,,,,,,SAS/ACCESS,,,,
327,PROC_327,RANK,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
328,PROC_328,RAREEVENTS,SAS/QC,Advanced Analytics,,,RAREEVENTS,,,,,,Advanced Analytics,SAS/QC,,,,
329,PROC_329,RDC,SAS Risk Dimensions,Advanced Analytics,,,,,,,,,,,,,,
330,PROC_330,RDPOOL,SAS Risk Dimensions,Advanced Analytics,,,,,,,,,,,,,,
331,PROC_331,RDSEC,SAS Risk Dimensions,Advanced Analytics,,,,,,,,,,,,,,
332,PROC_332,RECOMMEND,SAS LASR Analytic Server,Advanced Analytics,,,,,,,,,,,,,,
333,PROC_333,REG,SAS/STAT,Analytics,Y,Y,REG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
334,PROC_334,REGISTRY,Base SAS,Data Management,Y,Y,REGISTRY,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
335,PROC_335,REGSELECT,SAS Visual Statistics,Advanced Analytics,,,REGSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
336,PROC_336,RELEASE,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
337,PROC_337,RELIABILITY,SAS/QC,Advanced Analytics,,,RELIABILITY,,,,,,Advanced Analytics,SAS/QC,,,,
338,PROC_338,REPORT,Base SAS,Reporting,Y,Y,REPORT,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
339,PROC_339,RISK,SAS Risk Dimensions,Advanced Analytics,,,,,,,,,,,,,,
340,PROC_340,RMSTREG,SAS/STAT,Analytics,Y,Y,RMSTREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
341,PROC_341,ROBUSTREG,SAS/STAT,Analytics,Y,Y,ROBUSTREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
342,PROC_342,RSREG,SAS/STAT,Analytics,Y,Y,RSREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
343,PROC_343,S3,Base SAS,Data Management,Y,Y,S3,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
344,PROC_344,SANDWICH,SAS Visual Statistics,Advanced Analytics,,,SANDWICH,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
345,PROC_345,SCA,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
346,PROC_346,SCAPROC,SAS/STAT,Analytics,Y,Y,,,,,,,,,,,,
347,PROC_347,SCORE,SAS/STAT,Analytics,Y,Y,SCORE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
348,PROC_348,SCOREACCEL,Base SAS,Analytics,Y,Y,SCOREACCEL,SAS Studio,Y,Y,Y,Y,Analytics,,,,,
349,PROC_349,SEQDESIGN,SAS/STAT,Analytics,Y,Y,SEQDESIGN,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
350,PROC_350,SEQTEST,SAS/STAT,Analytics,Y,Y,SEQTEST,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
351,PROC_351,SERVER,SAS/SHARE,SAS ENV,,,,,,,,,,,,,,
352,PROC_352,SEVERITY,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
353,PROC_353,SEVSELECT,SAS Econometrics,Advanced Analytics,,,SEVSELECT,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
354,PROC_354,SGDESIGN,Base SAS,Analytics,Y,Y,,,,,,,,,,,,
355,PROC_355,SGMAP,Base SAS,Reporting,Y,Y,,,,,,,,,,,,
356,PROC_356,SGPANEL,Base SAS,Analytics,Y,Y,SGPANEL,SAS Studio,Y,Y,Y,Y,Analytics,,,,,
357,PROC_357,SGPIE,Base SAS,Reporting,Y,Y,SGPIE,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
358,PROC_358,SGPLOT,Base SAS,Reporting,Y,Y,SGPLOT,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
359,PROC_359,SGRENDER,Base SAS,Reporting,Y,Y,SGRENDER,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
360,PROC_360,SGSCATTER,Base SAS,Reporting,Y,Y,SGSCATTER,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
361,PROC_361,SHEWHART,SAS/QC,Advanced Analytics,,,SHEWHART,,,,,,,SAS/QC,,,,
362,PROC_362,SHEWHART ,SAS/QC,Advanced Analytics,,,,,,,,,,,,,,
363,PROC_363,SIM2D,SAS/STAT,Analytics,Y,Y,SIM2D,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
364,PROC_364,SIMILARITY,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
365,PROC_365,SIMLIN,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
366,PROC_366,SIMNORMAL,SAS/STAT,Analytics,Y,Y,SIMNORMAL,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
367,PROC_367,SIMSYSTEM,SAS Visual Statistics,Advanced Analytics,,,SIMSYSTEM,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
368,PROC_368,SOAP,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
369,PROC_369,SORT,Base SAS,Data Management,Y,Y,SORT,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
370,PROC_370,SOURCE,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
371,PROC_371,SPATIALREG,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
372,PROC_372,SPC,SAS Visual Statistics,Advanced Analytics,,,SPC,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
373,PROC_373,SPDO,SAS Scalable Performance Data Server,Data Management,,,SPDO,SAS Scalable Performance Data Engine,Y,Y,Y,Y,Data Management,,,,,
374,PROC_374,SPECTRA,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
375,PROC_375,SPP,SAS/STAT,Analytics,Y,Y,SPP,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
376,PROC_376,SQL,Base SAS,Data Management,Y,Y,SQL,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
377,PROC_377,SQOOP,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
378,PROC_378,SSM,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
379,PROC_379,STANDARD,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
380,PROC_380,STATESPACE,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
381,PROC_381,STDIZE,SAS/STAT,Analytics,Y,Y,STDIZE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
382,PROC_382,STDRATE,SAS/STAT,Analytics,Y,Y,STDRATE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
383,PROC_383,STEPDISC,SAS/STAT,Analytics,Y,Y,STEPDISC,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
384,PROC_384,STP,SAS Integration Technologies,SAS ENV,,,,,,,,,,,,,,
385,PROC_385,STREAM,Base SAS,Data Management,Y,Y,STREAM,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
386,PROC_386,SUMMARY,Base SAS,Analytics,Y,Y,SUMMARY,SAS Studio,Y,Y,Y,Y,Analytics,,,,,
387,PROC_387,SURVEYFREQ,SAS/STAT,Analytics,Y,Y,SURVEYFREQ,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
388,PROC_388,SURVEYIMPUTE,SAS/STAT,Analytics,Y,Y,SURVEYIMPUTE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
389,PROC_389,SURVEYLOGISTIC,SAS/STAT,Analytics,Y,Y,SURVEYLOGISTIC,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
390,PROC_390,SURVEYMEANS,SAS/STAT,Analytics,Y,Y,SURVEYMEANS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
391,PROC_391,SURVEYPHREG,SAS/STAT,Analytics,Y,Y,SURVEYPHREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
392,PROC_392,SURVEYREG,SAS/STAT,Analytics,Y,Y,SURVEYREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
393,PROC_393,SURVEYSELECT,SAS/STAT,Analytics,Y,Y,SURVEYSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
394,PROC_394,SYSLIN,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
395,PROC_395,TABULATE,Base SAS,Reporting,Y,Y,TABULATE,SAS Studio,Y,Y,Y,Y,Reporting,,,,,
396,PROC_396,TAPECOPY,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
397,PROC_397,TAPELABEL,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
398,PROC_398,TEMPLATE,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
399,PROC_399,TIMEDATA,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
400,PROC_400,TIMEID,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
401,PROC_401,TIMEPLOT,Base SAS,Analytics,Y,Y,,,,,,,,,,,,
402,PROC_402,TIMESERIES,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
403,PROC_403,TMODEL,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
404,PROC_404,TPSPLINE,SAS/STAT,Analytics,Y,Y,TPSPLINE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
405,PROC_405,TRANSPOSE,Base SAS,Analytics,Y,Y,TRANSPOSE,SAS Studio,Y,Y,Y,Y,Analytics,,,,,
406,PROC_406,TRANSREG,SAS/STAT,Analytics,Y,Y,TRANSREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
407,PROC_407,TRANTAB,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
408,PROC_408,TREE,SAS/STAT,Analytics,Y,Y,TREE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
409,PROC_409,TREESPLIT,SAS Visual Statistics,Advanced Analytics,,,TREESPLIT,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
410,PROC_410,TSCSREG,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
411,PROC_411,TTEST,SAS/STAT,Analytics,Y,Y,TTEST,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
412,PROC_412,UCM,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
413,PROC_413,UNIVARIATE,Base SAS,Analytics,Y,Y,,,,,,,,,,,,
414,PROC_414,UPLOAD,SAS/CONNECT,SAS ENV,,,UPLOAD,SAS/CONNECT ,Y,Y,Y,Y,SAS ENV,,,,,
415,PROC_415,VARCLUS,SAS/STAT,Analytics,Y,Y,VARCLUS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
416,PROC_416,VARCOMP,SAS/STAT,Analytics,Y,Y,VARCOMP,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
417,PROC_417,VARIMPUTE,SAS Visual Statistics,Advanced Analytics,,,VARIMPUTE,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
418,PROC_418,VARIOGRAM,SAS/STAT,Analytics,Y,Y,VARIOGRAM,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
419,PROC_419,VARMAX,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
420,PROC_420,VARREDUCE,SAS Visual Statistics,Advanced Analytics,,,VARREDUCE,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
421,PROC_421,VASMP,SAS LASR Analytic Server,Advanced Analytics,,,,,,,,,,,,,,
422,PROC_422,X11,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
423,PROC_423,X12,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
424,PROC_424,X13,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
425,PROC_425,XSL,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
